Speaker 1:  This is the trans groups.
Speaker 249:  So if you catch me dying in the next meeting or not at the meeting at all just now just now just now
Speaker 157:  Probably good. Um, room for an art. Uh, I think that we're kind of stuck with trying to get your transcript to the next button without storing it.
Speaker 180:  Why do you say that? I don't know how to... Oh, okay, no, okay, never mind. So my code...
Speaker 180:  does have a return.
Speaker 22:  it does return way
Speaker 22:  way at the bottom of my friggin 700 lines of code.
Speaker 250:  returns a conversation.
Speaker 22:  So the conversation object is basically what the edit UI should take in and that...
Speaker 103:  that conversation object is basically just a list of
Speaker 22:  A list of segments which each have text and then a final audio file as well.
Speaker 251:  the
Speaker 27:  string or just like it is it just attacks the attack
Speaker 253:  Yes, so when a Yes, so when a Yes, so when a
Speaker 180:  Eventually gets to that point I have a get transcript function on my conversation object that just combines all of the uh...
Speaker 22:  segments into one big text file that's properly annotated and everything.
Speaker 254:  Okay, do you happen to have any?
Speaker 255:  example, like to be able to push just in terms of testing.
Speaker 256:  No, you got it.
Speaker 257:  I have that gotten to the point where I've actually like
Speaker 131:  return the conversation object. I just have the bones of like getting there already written.
Speaker 258:  I'll just keep the butt.
Speaker 27:  and the samples that I made.
Speaker 5:  and uh
Speaker 22:  I will just get there when I get there. I think I can get like that part of it polished up and get an example to you in the next day or two.
Speaker 259:  cool yeah I'm gonna
Speaker 259:  I'm gonna make an
Speaker 5:  a draft forward process at some point with what I have so far right now I'm just kind of slicing it to main and using local storage to load stuff but at some point I'll be
Speaker 260:  switching that to pull from the database.
Speaker 5:  Well, I guess that would become yeah, I would be pulling from the database based on the information that you send me of what in this well the transfer ID mainly but the industry so that I can tell it which context to preload with all all
Speaker 261:  I'll cook that into my button.
Speaker 5:  Now I'm also just using 4-0 Mini, technically later on, once we get the solid, like we can play with this and figure out if we want to large your model to
Speaker 5:  more fancy stuff or not, but just
Speaker 5:  Great now, I'm trying not to spend a lot.
Speaker 154:  We need a plan where we need to be in the next three weeks. I don't think that critical path actually helps us at all because it's fucking useless.
Speaker 69:  So
Speaker 265:  by the end of this week.
Speaker 266:  We need.
Speaker 35:  the transcripts to make it through.
Speaker 57:  the transcripts. So that's what the transcript ends our edit process. Correct. Yeah, transcript to edit.
Speaker 268:  us transcript to database.
Speaker 266:  We need.
Speaker 70:  database to LM
Speaker 267:  We need to search.
Speaker 270:  function
Speaker 109:  You can probably put from LLM to database as well.
Speaker 57:  It's been my first time receiving information. I can store it back where I got it from in the transcript.
Speaker 272:  time.
Speaker 175:  There anything else I think of right now that we need to finish up test the list so testing and testing.
Speaker 273:  and then document issue
Speaker 168:  We're also gonna have to update the top testing documentation for the next couple weeks.
Speaker 165:  typing it out while I'm already in this working.
Speaker 45:  I think we could probably get to...
Speaker 69:  this
Speaker 275:  Yeah.
Speaker 161:  I think we should at least start testing. I don't know. I think these are like...
Speaker 277:  Yeah, okay, I see.
Speaker 278:  I'm thirsty.
Speaker 255:  Yeah, and I've been holding out on changing anything regarding open AI like
Speaker 5:  our AI process while we're still ironing things up.
Speaker 279:  documentation was.
Speaker 154:  I'm sorry. It's just the way like my brain is thinking
Speaker 282:  - We'll be in place at the end of that. - Yeah.
Speaker 286:  - I'm in the way.
Speaker 287:  that's I just wanna plan.
Speaker 35:  this third week if we're not done with the first two weeks shit, we're not gonna be able to finish.
Speaker 31:  every Sunday since we're meeting every single Sunday as we could sit down and plan what we need to have done for the week. It's like a weekly to-do list.
Speaker 289:  That's true.
Speaker 6:  Also this way, Ali can't sit here and correct my typing while I'm doing it.
Speaker 292:  I would correct your formatting. There should be difference.
Speaker 293:  leadership for our.
Speaker 255:  the whole API event.
Speaker 27:  I know we haven't touched the deployment process recently, but I'm not completely sure of how.
Speaker 27:  storing that in GitHub Secrets to pull into the application works.
Speaker 5:  Because right now I'm working from, okay, I have an UV file locally. That's what I'm plugging this stuff. That's what I'm plugging in to be able to call out the, the, the, the GPT.
Speaker 294:  but in terms of
Speaker 193:  Well, I don't know. I mean, I'll ask you all. Is it? Sir.
Speaker 5:  this proof of concept we wanted to delete it so that okay if you're running this app you have an egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg egg
Speaker 295:  the IP.
Speaker 5:  at least for right now, or what do we want to do?
Speaker 260:  as a proof of concept that this thing works.
Speaker 27:  I don't think we're trying to release this actually right now So you have a proof of concept that it does work What I'm saying is that it works like I can call out to the the GPT But that's because I have a local eMB file that has my a I d
Speaker 32:  any of us who are running the app with the
Speaker 296:  um
Speaker 10:  then if we're running
Speaker 297:  locally in the eBay, the IP.
Speaker 32:  don't completely understand how.
Speaker 298:  the whole year of secrets plus
Speaker 260:  us deployment.
Speaker 27:  Bakes an API key into our application to be able to run without that because Because
Speaker 299:  You ever know?
Speaker 300:  Bye, Ellen.
Speaker 301:  - No. - Kika? - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. - No. -
Speaker 5:  I don't know. I'm partial toward leaving it so that if you're running the app you have a key in this pocket and locally.
Speaker 302:  because we're not releasing this.
Speaker 302:  If anyone has other thoughts let me know. I'm just trying to keep it simple.
Speaker 303:  We could just add a real...
Speaker 22:  simple settings UI.
Speaker 304:  under
Speaker 22:  Yeah. Similar to the learning lessons. Yeah. I think we're going to have to do something like that anyway because the AI models are just slightly too large for me to commit them to GitHub. So I either need to, that's one other thing I need to do is either add some code that.
Speaker 22:  and loads them on the fly.
Speaker 305:  Or...
Speaker 22:  have them like in the GitHub actions somehow be downloaded there so that they're
Speaker 22:  but still baked in, I guess. Because currently GitHub actions will fail on my draft just because it doesn't have those files.
Speaker 22:  And when GitHub Actions does work, it does spit out a full APK.
Speaker 306:  So
Speaker 22:  If we can just plug that bit and then
Speaker 307:  have the user
Speaker 180:  I don't know, either have the user manually.
Speaker 22:  settings menu just acknowledge hey I want to download these and here's my API key.
Speaker 308:  like that.
Speaker 10:  that's it you're checking
Speaker 310:  You're muted.
Speaker 311:  I figured it out. Okay, so we're good.
Speaker 121:  need a way of inputting.
Speaker 5:  the like accepting that the sure book packages will be downloaded and that the user can't need to be able to provide an API key for
Speaker 312:  typically use
Speaker 314:  He's a curse.
Speaker 316:  It was working the download feature. I'll do that.
Speaker 318:  I spelt it wrong, fucking dude.
Speaker 6:  Hey Brian, he's still there. Yeah.
Speaker 320:  And you help me.
Speaker 6:  look through all the UI and add the correct database information.
Speaker 323:  tomorrow
Speaker 324:  I'm going to be just very busy the first I believe it. And I'll.
Speaker 325:  again, hopefully the next episode.
Speaker 261:  No, you're fine. I think...
Speaker 329:  most of the things I'm doing.
Speaker 165:  It can wait until the end of the week to get the actual database information added because we've all just kind of created our own little bits of information to steal.
Speaker 63:  So we should be fine. I just, I think it would be a lot easier for you to implement all that than me trying to figure the fuck out. Yeah.
Speaker 331:  - This is your son, mate. - Yes.
Speaker 332:  more you can
Speaker 333:  Yeah, you can wear a new look.
Speaker 334:  I...
Speaker 335:  I don't
Speaker 5:  Yeah, so when I was asking about the...
Speaker 336:  All you find, I don't think.
Speaker 5:  because what I'm working on now does not require that.
Speaker 13:  (wind blowing)
Speaker 5:  I don't think that request is still current. I think I'll be pulling just the text from the transcript.
Speaker 5:  Transcript tax data field of a transcript after Bernard's Greece populates that So I would be pulling in tax as opposed to audio directly in that case Yes, I think my request is OBE at this point and you don't need to look into that
Speaker 340:  Yeah.
Speaker 260:  We just, yeah, we, I think it was the last meeting. We hatched out a bunch of.
Speaker 341:  how we were actually gonna pass this day around for our hugs.
Speaker 5:  does the part that I was asking you about already?
Speaker 342:  I have to do.
Speaker 343:  So we have a plan.
Speaker 116:  A lot of these can slip into the second week, but we cannot slip into the third week. I think I agree that the core functionality should be done two weeks from now so that we're not back against the wall for the actual code.
Speaker 4:  In just like agile fucking development, we just need to be able to present something. At the end of this, as long as we present something that works, we can talk about why something didn't make it. And I'll be like, we'll be perfectly fine. Like having that information, we're knowing it. What I don't want is...
Speaker 119:  just gets at the end and then nothing works and then we have nothing to showcase.
Speaker 5:  So based on this land, does anyone have concerns about their...
Speaker 57:  or should what concerns or confusion about their pieces.
Speaker 344:  in this.
Speaker 22:  I don't. I think the only one other thing I would like us to add is since I have a audio file saved.
Speaker 22:  If Brian could just add a wave for us to associate.
Speaker 22:  audio files to a transcript. So there is...
Speaker 5:  I do see there's a blob transcript. I'm just Word document. I don't know. Yeah.
Speaker 345:  It's just a garden.
Speaker 324:  Okay, I'll take this on.
Speaker 346:  So you could probably throw it in there. Give me one second to find the database helper again. No. No. No. No. No. No. Share.
Speaker 347:  - That's what I'm saying. (mellow music)
Speaker 348:  see this object.
Speaker 22:  Okay, trying to skip. Okay. Um, okay. Cool. That works. Okay. Um, okay. Cool. That works. Okay. Um, okay. Cool. That works. Okay. Um, okay. Cool. That works. Okay. Okay. Um, okay. Cool. That works. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Cool. That works. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.
Speaker 193:  And then I guess...
Speaker 5:  where you were requesting that that be displayed on the UI, what was your top thing?
Speaker 154:  I'm gonna throw a lot of code on the history so that you could click a button and listen to the recording.
Speaker 349:  Okay, so I'll give them almost original content to be in public.
Speaker 353:  Yes.
Speaker 103:  Yes, so.
Speaker 22:  So when I do a recording, I output a way file. Currently, I'm just saving it to the file system with one of Android's like get application folder functions.
Speaker 22:  I just want to know if that is the best place to put it or if there was a way to add.
Speaker 354:  it to the database directly.
Speaker 324:  It doesn't make sense to say that it goes through a few months.
Speaker 324:  that in the future might be better to see that in local storage.
Speaker 355:  I'm sorry.
Speaker 356:  Um, um, I'm pretty sure.
Speaker 333:  It might be better just to save it to local storage and then you might believe it after.
Speaker 357:  - I agree. - Is that next one?
Speaker 358:  Yeah
Speaker 121:  Somewhere in here kind of
Speaker 5:  So I ironically have to point that I ask you about this is being able to store to the day-days but I'm in a new way.
Speaker 5:  And I wasn't sure if we actually knew, but I guess, we're not.
Speaker 361:  question
Speaker 364:  All right.
Speaker 367:  if here that happens.
Speaker 369:  between the end of the Western idea here
Speaker 370:  it was a sense it was a sense
Speaker 5:  Oh, James. Medical, for sure. Mechanic, we've made up, but he's been asking for medical since the beginning.
Speaker 376:  Okay.
Speaker 154:  A little bit of functionality with a mechanic will be fine and then yeah, as much as reasonable.
Speaker 378:  Oh yeah.
Speaker 379:  Good luck Rachel. Good luck.
Speaker 161:  Let us know if you run into any issues.
Speaker 380:  I think we're here. I think we had a good plan. I think.
Speaker 381:  It's realistic.
Speaker 71:  and then by
Speaker 154:  Next Sunday, if we didn't finish anything, we can start moving more force towards it. So it looks like Ken's got a little bit of bandwidth. Maybe Brian.
Speaker 382:  at the end of the week.
Speaker 35:  Maybe I just like don't don't ask anymore things if Bernard don't ask anymore things original I Just like don't don't ask anymore things if Bernard don't ask anymore things original I Just like don't don't ask anymore things if Bernard don't ask anymore things original
Speaker 6:  Xander probably if I'm alone.
Speaker 27:  It can up and putting down the information, and making sure it'll bounce to the GPT and back with something. Oh, I guess that's one thing. Do we want the response to the MJ or do we want it to just be a raw like, like, summary of the transcript?
Speaker 383:  big ones.
Speaker 27:  It will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will be tax but like this will
Speaker 384:  Like, so you want to be like the photos not like Jason.
Speaker 385:  properties.
Speaker 268:  So I would use me the Jason properties online. But that's more of a Brian question. So I mean, theoretically the API.
Speaker 22:  Could take Jason, I'm just not sure whether the AI can consistently get properly formatted Jason and it would be impossible to troubleshoot that.
Speaker 259:  I will get a text on.
Speaker 22:  I mean, it depends on how accurate it is if it can pretty consistently give this JSON. It just depends on how Rachel's API expects it to be.
Speaker 5:  there's structured out place for some of the models.
Speaker 121:  When I was looking at the API stuff, or the JPG, API stuff, some of the models have structured outputs and you can tell it, give me Jason. I don't know if I accurate that is and if it will actually be applicable to our process, but.
Speaker 6:  a brand how hard would it be to be able to change?
Speaker 6:  So on saying after we get it back from the L.M. and it goes to the API, how do we edit that information if it's not correct? So when you're now on the middle button or the button that's showing you the post API information, how do you edit it?
Speaker 386:  And can you...
Speaker 6:  you go to use edit and throw it back into the database after you're done. We just have to put it into the UI. Yeah, I think that's the way to go.
Speaker 4:  like, where how'd that happen? And you can like double click it and change the text. I'll, we'll have that then.
Speaker 6:  Was it here, Ambulant?
Speaker 391:  Okay.
Speaker 392:  Alright, alright, alright.
Speaker 393:  I'm dead. I... I... I'm dead.
Speaker 394:  f
Speaker 22:  I don't think I have anything else.
Speaker 395:  regional.
Speaker 397:  I
Speaker 5:  Alright, Tuesday, 70.
Speaker 399:  Yeah, E-G.
Speaker 402:  What time works better for you?
Speaker 403:  You don't know what you say. You don't know.
Speaker 406:  I'll take. Would you have just...
Speaker 407:  join me. Care for, select the rest of us.
Speaker 35:  Like I work from like 7 to 5 everyday like eating a little person
Speaker 5:  I'll be traveling, I'll be in Austin, this Thursday through Monday. I should still be on a make like our Sunday meeting, but just in case, just putting it out there.
Speaker 411:  [BLANK_AUDIO]
Speaker 412:  Your score will reflect.
Speaker 413:  19 for channel hard work.
Speaker 69:  The finish strong, this makes us happen.
Speaker 414:  Yep.
Speaker 415:  Bye
